subject, group, gender, age, education
1,0, M,44,16
2,0, M,39,17
3,0, M,53,18
4,0, M,52,15
5,0, M,41,16
6,0, F,47,18
7,0, F,61,16
8,0, M,45,16
9,0, M,25,17
10,0, M,53,19
11,0, M,44,18
12,0, M,28,16
13,0, M,56,16
14,0, M,23,12
15,0, M,24,16
16,0, F,60,16
17,0, F,23,15
18,0, M,31,18
19,0, M,38,12.5
20,0, M,32,16
21,0, M,45,19
22,0, M,56,12
23,0, M,26,17
24,0, M,24,16
66,0, M,27,16
67,1, M,43,9
68,1, M,23,14
69,1, M,47,16
70,1, M,26,14
71,1, F,19,12
72,1, M,24,15
73,1, M,63,14
74,1, M,60,13
75,1, F,49,16
76,1, M,32,13
77,1, M,28,13
